ASIN,Overall_Rating,Review_Count,5Star,4Star,3Star,2Star,1Star
B0DNCMT7CP,,,0,0,0,0,0
B0DYV5HT3L,,,0,0,0,0,0
B0DYD7ZP2K,,,0,0,0,0,0
B0DYXMPCPL,,,0,0,0,0,0
B0DZ324LQJ,,,0,0,0,0,0
B0DY7VP9MQ,,,0,0,0,0,0
B0DYY2J4Z2,,,0,0,0,0,0
B0DR8BXPRV,,,0,0,0,0,0
B0DR8JSV1T,,,0,0,0,0,0
B0DZPGTBX9,,,0,0,0,0,0
B0DSBDK2Y6,,,0,0,0,0,0
B0DNSWB34K,,,0,0,0,0,0
B0DXQJF3NR,4.8,,85,11,2,1,1
B0DQ8FKJZR,,,0,0,0,0,0
B0DXQ3QW75,4.6,85.0,72,17,4,4,3
B0DZH88C67,,,0,0,0,0,0
B0DLJRJVND,4.7,12.0,72,22,0,6,0
B0DT6T69HM,,,0,0,0,0,0
B0DRY2NLCV,4.9,84.0,82,7,0,0,11
B0DTHXV2CT,,,0,0,0,0,0
B0DSKZ9FG1,5.0,3.0,78,0,0,9,13
B0DYQ1NDKM,5.0,1.0,50,0,50,0,0
B0DT4ZKTFZ,,,94,6,0,0,0
B0DVZRGNF9,,,0,0,0,0,0
B0DS9X14GK,,,0,0,0,0,0
B0DZ2WQVLB,,,0,0,0,0,0
B0DT2BXY9H,,,0,0,0,0,0
B0DR7RNJML,,,0,0,0,0,0
B0DTHT9D98,,,52,29,0,9,10
B0DZ1XMJB8,,,0,0,0,0,0
B0DPHDFHSC,5.0,2.0,93,7,0,0,0
B0DSSRFLNP,,,73,13,6,3,5
B0DTDVBDLR,,,42,47,11,0,0
B0DYYJCLHC,,,0,0,0,0,0
B0DXNFW9WQ,,,0,100,0,0,0
B0DYYK7WCX,,,0,0,0,0,0
B0DYWRB57J,,,100,0,0,0,0
B0DYWCYN88,,,0,0,0,0,0
B0DY7CHLVT,,,0,0,0,0,0
B0DYWM4N8Y,,,0,0,0,0,0
B0DYWDGHYM,,,0,0,0,0,0
B0DXPLBGXP,,,0,0,0,0,0
B0DS7YWKSF,4.8,23.0,89,11,0,0,0
B0DR1BMSWT,,,0,0,0,0,0
B0DXXDZVXR,4.6,7.0,40,60,0,0,0
B0DTDK334L,,,0,0,0,0,0
B0DZ6876Y7,5.0,2.0,0,0,0,0,0
B0DPVKDM7F,4.6,9.0,69,31,0,0,0
B0DWFTJBRB,,,0,0,0,0,0
B0DPW35VQK,4.3,30.0,63,30,5,0,2
B0DXJTW8L9,,,0,0,0,0,0
B0DYSCM29M,4.7,22.0,88,7,0,5,0
B0DS816Z79,5.0,1.0,100,0,0,0,0
B0DXKW39F9,,,0,0,0,0,0
B0DX3SZNTX,,,0,0,0,0,0
B0D9CKF7HD,4.0,3.0,34,47,12,0,7
B0DX6YTXTK,,,0,0,0,0,0
B0DXFBXRM1,,,0,0,0,0,0
B0DRFVR3LW,4.8,15.0,79,21,0,0,0
B0DRWSP4P7,,,0,0,0,0,0
B0DP9BVZD1,,,0,0,0,0,0
B0DYD79B2F,,,0,0,0,0,0
B0DYDRFFSR,,,0,0,0,0,0
B0DYJ8743N,,,0,0,0,0,0
B0DYDRLZXN,,,0,0,0,0,0
B0DYDC794M,,,0,0,0,0,0
B0DQZCJZKN,5.0,1.0,100,0,0,0,0
B0DZ14TN9R,,,0,0,0,0,0
B0DX9MR8GR,,,0,0,0,0,0
B0DWSGJWF7,,,0,0,0,0,0
B0DXZ5ZH1L,,,0,0,0,0,0
B0DXFGVRDW,,,0,0,0,0,0
B0DS9P4XYJ,4.8,5.0,82,18,0,0,0
B0DMTSL7C6,,,0,0,0,0,0
B0DMTSWKYF,,,0,0,0,0,0
B0DXC8WWGQ,,,0,0,0,0,0
B0DSFSPMV1,,,0,0,0,0,0
B0DTDS118S,4.5,4.0,59,41,0,0,0
B0DW9KY6PF,4.9,20.0,95,5,0,0,0
B0DSFJK3P1,,,0,0,0,0,0
B0DSDY3G29,,,0,0,0,0,0
B0DS274T6W,4.8,18.0,77,23,0,0,0
B0DSD4WY6X,4.7,15.0,73,20,7,0,0
B0DSD4MCR9,4.6,11.0,63,26,11,0,0
B0DSFWSFLN,4.5,10.0,65,20,15,0,0
B0DS26NSM9,4.0,1.0,0,100,0,0,0
B0DYMDVL51,4.7,8.0,69,15,10,6,0
B0DS77SXRD,,,0,100,0,0,0
