Category,CategoryID
Car Care,1
Car Electronics & Accessories,2
Exterior Accessories,3
Heavy Duty & Commercial Vehicle Equipment,4
Interior Accessories,5
Lights & Lighting Accessories,6
Motorcycle & Powersports,7
Oils & Fluids,8
Paint & Paint Supplies,9
Performance Parts & Accessories,10
Replacement Parts,11
Tires & Wheels,12
Tools & Equipment,13
